ID,NAME,DEVELOPERNAME,NAMESPACEPREFIX,DESCRIPTION,BUSINESSPROCESSID,SOBJECTTYPE,ISACTIVE,ISPERSONTYPE,CREATEDBYID,CREATEDDATE,LASTMODIFIEDBYID,LASTMODIFIEDDATE,SYSTEMMODSTAMP
0127Z000001IxtDQAS,Managed,Managed,oAtlas,These are objects that are part of a Managed Package (AppExchange Installed App),,oAtlas__Object__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048400000,0050X00000A7cf7QAB,1634048400000,1634048400000
0127Z000001Ixt0QAC,Process Builder,Process_Builder,oAtlas,,,oAtlas__Automation__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048399000,0050X00000A7cf7QAB,1634048399000,1634048399000
0127Z000001Ixt9QAC,Queue,Queue,oAtlas,,,oAtlas__Group__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048400000,0050X00000A7cf7QAB,1634048400000,1634048400000
0127Z000001IxsgQAC,Flow,Flow,oAtlas,,,oAtlas__Automation_Action__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048398000,0050X00000A7cf7QAB,1634048398000,1634048398000
0127Z000001IxtPQAS,Tab Visibility,Tab_Visibility,oAtlas,,,oAtlas__Permission__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048412000,0050X00000A7cf7QAB,1634048412000,1634048412000
0127Z000001IxtAQAS,Record Created,Record_Created,oAtlas,,,oAtlas__Latest_Record__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048400000,0050X00000A7cf7QAB,1634048400000,1634048400000
0127Z000001IxsrQAC,Approval - Approval Step,Approval_Approval_Step,oAtlas,,,oAtlas__Automation_Step__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048399000,0050X00000A7cf7QAB,1634048399000,1634048399000
0127Z000001IxsxQAC,Workflow - Immediate,Workflow_Immediate,oAtlas,,,oAtlas__Automation_Step__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048399000,0050X00000A7cf7QAB,1634048399000,1634048399000
0127Z000001IxtGQAS,Custom Code Permission,Custom_Code_Permission,oAtlas,,,oAtlas__Permission__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048402000,0050X00000A7cf7QAB,1634048402000,1634048402000
0127Z000001IxskQAC,Reusable Action Reference,Reusable_Action_Reference,oAtlas,,,oAtlas__Automation_Action__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048398000,0050X00000A7cf7QAB,1634048398000,1634048398000
0127Z000001IxswQAC,Process Builder - Action Group,Process_Builder_Action_Group,oAtlas,,,oAtlas__Automation_Step__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048399000,0050X00000A7cf7QAB,1634048399000,1634048399000
0127Z000001Ixt5QAC,Custom,Custom,oAtlas,,,oAtlas__Field__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048400000,0050X00000A7cf7QAB,1634048400000,1634048400000
0127Z000001IxtMQAS,Object Permission,Object_Permission,oAtlas,,,oAtlas__Permission__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048409000,0050X00000A7cf7QAB,1634048409000,1634048409000
0127Z000001IxtEQAS,Standard,Standard,oAtlas,,,oAtlas__Object__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048400000,0050X00000A7cf7QAB,1634048400000,1634048400000
